,country_region_code,country_region,sub_region_1,sub_region_2,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
713127,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-23,-59.0,-18.0,-59.0,-58.0,-43.0,22.0
713128,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-24,-71.0,-37.0,-57.0,-70.0,-56.0,29.0
713129,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-25,-76.0,-45.0,-68.0,-74.0,-60.0,31.0
713130,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-26,-77.0,-43.0,-58.0,-76.0,-63.0,32.0
713131,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-27,-80.0,-41.0,-50.0,-76.0,-62.0,33.0
713132,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-28,-80.0,-41.0,-57.0,-74.0,-49.0,22.0
713133,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-29,-82.0,-51.0,-74.0,-78.0,-53.0,20.0
713134,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-30,-78.0,-46.0,-60.0,-78.0,-66.0,31.0
713135,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-03-31,-80.0,-51.0,-59.0,-81.0,-68.0,33.0
713136,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-01,-81.0,-57.0,-67.0,-82.0,-69.0,34.0
713137,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-02,-83.0,-58.0,-79.0,-83.0,-70.0,37.0
713138,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-03,-83.0,-46.0,-63.0,-81.0,-68.0,36.0
713139,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-04,-85.0,-49.0,-83.0,-79.0,-54.0,27.0
713140,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-05,-84.0,-51.0,-85.0,-82.0,-57.0,22.0
713141,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-06,-80.0,-48.0,-68.0,-81.0,-68.0,32.0
713142,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-07,-81.0,-50.0,-69.0,-82.0,-69.0,35.0
713143,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-08,-81.0,-53.0,-69.0,-82.0,-69.0,35.0
713144,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-09,-80.0,-40.0,-64.0,-82.0,-69.0,33.0
713145,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-10,-93.0,-78.0,-64.0,-91.0,-86.0,43.0
713146,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-11,-85.0,-40.0,-83.0,-82.0,-60.0,27.0
713147,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-12,-86.0,-54.0,-76.0,-83.0,-60.0,22.0
713148,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-13,-85.0,-56.0,-58.0,-90.0,-86.0,36.0
713149,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-14,-81.0,-51.0,-66.0,-83.0,-70.0,34.0
713150,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-15,-82.0,-56.0,-70.0,-83.0,-70.0,35.0
713151,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-16,-82.0,-50.0,-71.0,-82.0,-68.0,35.0
713152,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-17,-83.0,-46.0,-68.0,-81.0,-67.0,36.0
713153,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-18,-83.0,-42.0,-72.0,-77.0,-49.0,25.0
713154,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-19,-81.0,-45.0,-67.0,-78.0,-53.0,20.0
713155,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-20,-81.0,-51.0,-70.0,-81.0,-68.0,32.0
713156,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-21,-80.0,-49.0,-66.0,-81.0,-68.0,34.0
713157,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-22,-81.0,-54.0,-71.0,-81.0,-67.0,34.0
713158,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-23,-81.0,-51.0,-72.0,-81.0,-67.0,35.0
713159,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-24,-82.0,-42.0,-58.0,-80.0,-65.0,34.0
713160,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-25,-84.0,-53.0,-64.0,-78.0,-55.0,24.0
713161,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-26,-81.0,-40.0,-77.0,-78.0,-52.0,20.0
