,country_region_code,country_region,sub_region_1,sub_region_2,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
610864,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-23,-26.0,9.0,-30.0,-38.0,-12.0,10.0
610865,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-24,-34.0,2.0,-21.0,-45.0,-22.0,14.0
610866,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-25,-35.0,2.0,-24.0,-49.0,-27.0,16.0
610867,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-26,-39.0,-2.0,-15.0,-56.0,-32.0,17.0
610868,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-27,-42.0,-3.0,-38.0,-59.0,-31.0,19.0
610869,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-28,-44.0,-10.0,-26.0,-59.0,-28.0,15.0
610870,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-29,-49.0,-23.0,-28.0,-66.0,-33.0,14.0
610871,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-30,-44.0,-18.0,-31.0,-64.0,-39.0,19.0
610872,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-03-31,-45.0,-17.0,-26.0,-66.0,-43.0,21.0
610873,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-01,-44.0,-15.0,-28.0,-65.0,-45.0,22.0
610874,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-02,-46.0,-16.0,-27.0,-67.0,-45.0,22.0
610875,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-03,-46.0,-13.0,-35.0,-68.0,-43.0,23.0
610876,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-04,-48.0,-17.0,-41.0,-69.0,-35.0,18.0
610877,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-05,-48.0,-23.0,-33.0,-69.0,-37.0,14.0
610878,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-06,-42.0,-18.0,-30.0,-68.0,-47.0,20.0
610879,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-07,-43.0,-12.0,-21.0,-67.0,-49.0,22.0
610880,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-08,-42.0,-6.0,-29.0,-68.0,-49.0,22.0
610881,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-09,-35.0,15.0,-30.0,-67.0,-50.0,20.0
610882,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-10,-80.0,-71.0,-37.0,-84.0,-85.0,36.0
610883,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-11,-46.0,-3.0,-43.0,-72.0,-42.0,18.0
610884,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-12,-58.0,-39.0,-39.0,-74.0,-43.0,15.0
610885,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-13,-53.0,-27.0,-21.0,-82.0,-82.0,30.0
610886,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-14,-42.0,-8.0,-25.0,-69.0,-49.0,22.0
610887,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-15,-43.0,-11.0,-24.0,-67.0,-49.0,23.0
610888,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-16,-46.0,-13.0,-19.0,-69.0,-49.0,22.0
610889,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-17,-45.0,-9.0,-32.0,-69.0,-47.0,23.0
610890,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-18,-47.0,-15.0,-46.0,-69.0,-32.0,17.0
610891,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-19,-47.0,-21.0,-36.0,-71.0,-35.0,14.0
610892,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-20,-43.0,-16.0,-30.0,-68.0,-41.0,20.0
610893,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-21,-42.0,-13.0,-22.0,-68.0,-43.0,21.0
610894,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-22,-42.0,-12.0,-24.0,-67.0,-43.0,21.0
610895,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-23,-44.0,-12.0,-22.0,-68.0,-43.0,21.0
610896,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-24,-40.0,-1.0,-32.0,-67.0,-41.0,21.0
610897,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-25,-65.0,-54.0,-22.0,-69.0,-49.0,19.0
610898,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-26,-32.0,5.0,-27.0,-68.0,-30.0,12.0
610899,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-27,-38.0,-10.0,-30.0,-67.0,-40.0,19.0
610900,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-28,-40.0,-11.0,-28.0,-67.0,-41.0,20.0
610901,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-29,-40.0,-10.0,-21.0,-64.0,-42.0,20.0
610902,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-04-30,-41.0,-9.0,-19.0,-67.0,-42.0,20.0
610903,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-01,-38.0,-2.0,-28.0,-65.0,-39.0,21.0
610904,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-02,-33.0,-1.0,-11.0,-62.0,-26.0,13.0
610905,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-03,-32.0,-4.0,2.0,-65.0,-28.0,10.0
610906,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-04,-58.0,-51.0,38.0,-77.0,-81.0,27.0
610907,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-05,-30.0,14.0,-15.0,-64.0,-38.0,18.0
610908,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-06,-35.0,-1.0,-20.0,-63.0,-39.0,20.0
610909,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-07,-35.0,-4.0,-15.0,-65.0,-39.0,19.0
610910,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-08,-33.0,2.0,-15.0,-63.0,-36.0,19.0
610911,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-09,-24.0,11.0,-1.0,-59.0,-21.0,11.0
610912,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-10,-30.0,-10.0,4.0,-63.0,-21.0,8.0
610913,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-11,-33.0,-8.0,-16.0,-63.0,-33.0,17.0
610914,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-12,-33.0,-5.0,-10.0,-63.0,-34.0,18.0
610915,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-13,-34.0,-5.0,-10.0,-61.0,-35.0,18.0
610916,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-14,-35.0,-4.0,-14.0,-63.0,-35.0,18.0
610917,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-15,-31.0,4.0,-9.0,-61.0,-34.0,18.0
610918,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-16,-27.0,2.0,8.0,-57.0,-20.0,10.0
610919,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-17,-28.0,-6.0,12.0,-62.0,-22.0,8.0
610920,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-18,-29.0,-4.0,-16.0,-62.0,-32.0,16.0
610921,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-19,-30.0,-3.0,-3.0,-61.0,-33.0,16.0
610922,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-20,-30.0,-3.0,-17.0,-60.0,-33.0,18.0
610923,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-21,-31.0,-4.0,-33.0,-62.0,-34.0,17.0
610924,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-22,-28.0,4.0,-20.0,-61.0,-30.0,17.0
610925,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-23,-22.0,5.0,-16.0,-59.0,-17.0,10.0
610926,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-24,-22.0,-1.0,17.0,-60.0,-19.0,8.0
610927,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-25,-25.0,-2.0,-10.0,-57.0,-28.0,14.0
610928,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-26,-26.0,-1.0,6.0,-57.0,-27.0,14.0
610929,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-27,-26.0,-1.0,-1.0,-55.0,-28.0,15.0
610930,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-28,-27.0,-1.0,-1.0,-57.0,-28.0,15.0
610931,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-29,-26.0,3.0,-6.0,-56.0,-25.0,15.0
610932,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-30,-21.0,4.0,21.0,-53.0,-14.0,9.0
610933,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-05-31,-23.0,-4.0,11.0,-60.0,-18.0,8.0
610934,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-01,-24.0,-2.0,-11.0,-57.0,-24.0,13.0
610935,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-02,-25.0,-1.0,-6.0,-57.0,-26.0,14.0
610936,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-03,-24.0,0.0,-3.0,-54.0,-26.0,15.0
610937,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-04,-25.0,-1.0,-8.0,-57.0,-26.0,14.0
610938,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-05,-23.0,2.0,-7.0,-55.0,-23.0,13.0
610939,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-06,-16.0,2.0,25.0,-43.0,-12.0,7.0
610940,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-07,-20.0,-5.0,12.0,-59.0,-16.0,7.0
610941,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-08,-21.0,-4.0,-11.0,-56.0,-24.0,13.0
